name,rank,points,competition,event,results
sebrle,1,8217,decastar,x100m,11.04
sebrle,1,8217,decastar,long_jump,7.58
sebrle,1,8217,decastar,shot_put,14.83
sebrle,1,8217,decastar,high_jump,2.07
sebrle,1,8217,decastar,x400m,49.81
sebrle,1,8217,decastar,x110m_hurdle,14.69
sebrle,1,8217,decastar,discus,43.75
sebrle,1,8217,decastar,pole_vault,5.02
sebrle,1,8217,decastar,javeline,63.19
sebrle,1,8217,decastar,x1500m,291.7
clay,2,8122,decastar,x100m,10.76
clay,2,8122,decastar,long_jump,7.4
clay,2,8122,decastar,shot_put,14.26
clay,2,8122,decastar,high_jump,1.86
clay,2,8122,decastar,x400m,49.37
clay,2,8122,decastar,x110m_hurdle,14.05
clay,2,8122,decastar,discus,50.72
clay,2,8122,decastar,pole_vault,4.92
clay,2,8122,decastar,javeline,60.15
clay,2,8122,decastar,x1500m,301.5
karpov,3,8099,decastar,x100m,11.02
karpov,3,8099,decastar,long_jump,7.3
karpov,3,8099,decastar,shot_put,14.77
karpov,3,8099,decastar,high_jump,2.04
karpov,3,8099,decastar,x400m,48.37
karpov,3,8099,decastar,x110m_hurdle,14.09
karpov,3,8099,decastar,discus,48.95
karpov,3,8099,decastar,pole_vault,4.92
karpov,3,8099,decastar,javeline,50.31
karpov,3,8099,decastar,x1500m,300.2
bernard,4,8067,decastar,x100m,11.02
bernard,4,8067,decastar,long_jump,7.23
bernard,4,8067,decastar,shot_put,14.25
bernard,4,8067,decastar,high_jump,1.92
bernard,4,8067,decastar,x400m,48.93
bernard,4,8067,decastar,x110m_hurdle,14.99
bernard,4,8067,decastar,discus,40.87
bernard,4,8067,decastar,pole_vault,5.32
bernard,4,8067,decastar,javeline,62.77
bernard,4,8067,decastar,x1500m,280.1
yurkov,5,8036,decastar,x100m,11.34
yurkov,5,8036,decastar,long_jump,7.09
yurkov,5,8036,decastar,shot_put,15.19
yurkov,5,8036,decastar,high_jump,2.1
yurkov,5,8036,decastar,x400m,50.42
yurkov,5,8036,decastar,x110m_hurdle,15.31
yurkov,5,8036,decastar,discus,46.26
yurkov,5,8036,decastar,pole_vault,4.72
yurkov,5,8036,decastar,javeline,63.44
yurkov,5,8036,decastar,x1500m,276.4
warners,6,8030,decastar,x100m,11.11
warners,6,8030,decastar,long_jump,7.6
warners,6,8030,decastar,shot_put,14.31
